categoria,marca,nome_prodotto,prezzo_effettivo,prezzo_ordinario,url_prodotto,modello,sport,colori
Scarpini Sportivi Under Armour,UNDER ARMOUR,INFINITE PRO - Scarpe da corsa su strada - summit white,"77,97","130,00",https://www.zalando.it/under-armour-infinite-pro-scarpe-running-neutre-summit-white-un242a0ld-a13.html,INFINITE PRO,Scarpe da corsa su strada,summit white
Scarpini Sportivi Under Armour,UNDER ARMOUR,Scarpe da corsa su strada - white,"95,97","160,00",https://www.zalando.it/under-armour-scarpe-running-neutre-white-un242a0n1-a12.html,Scarpe da corsa su strada,white,
Scarpini Sportivi Under Armour,UNDER ARMOUR,APPARITION - Scarpe da allenamento - coyote/coyote brown/black,"64,99","129,99",https://www.zalando.it/under-armour-hovr-apparition-unisex-scarpe-da-allenamento-coyotecoyote-brownblack-un244a02e-o11.html,APPARITION,Scarpe da allenamento,coyote/coyote brown/black
Scarpini Sportivi Under Armour,UNDER ARMOUR,INFINITE PRO - Scarpe da corsa su strada - cardinal,"77,97","130,00",https://www.zalando.it/under-armour-infinite-pro-scarpe-running-neutre-cardinal-un242a0ld-g11.html,INFINITE PRO,Scarpe da corsa su strada,cardinal
Scarpini Sportivi Under Armour,UNDER ARMOUR,CHARGED BANDIT TR 3 - Scarpe da trail running - castlerock/anthracite/horizon blue,"79,97","100,00",https://www.zalando.it/under-armour-charged-bandit-tr-3-scarpe-da-trail-running-castlerockanthracitehorizon-blue-un242a0mi-c11.html,CHARGED BANDIT TR 3,Scarpe da trail running,castlerock/anthracite/horizon blue
Scarpini Sportivi Under Armour,UNDER ARMOUR,CURRY - Scarpe da basket - white l,"150,00","150,00",https://www.zalando.it/under-armour-sneakers-basse-white-l-un215o006-a11.html,CURRY,Scarpe da basket,white l
Scarpini Sportivi Under Armour,UNDER ARMOUR,Scarpe da allenamento - grn vert,"48,75","48,75",https://www.zalando.it/under-armour-sneakers-basse-grn-vert-un211a00m-m11.html,Scarpe da allenamento,grn vert,
Scarpini Sportivi Under Armour,UNDER ARMOUR,APPARITION - Scarpe da allenamento - coyote/coyote brown/black,"64,99","129,99",https://www.zalando.it/under-armour-hovr-apparition-unisex-scarpe-da-allenamento-coyotecoyote-brownblack-un244a02e-o11.html,APPARITION,Scarpe da allenamento,coyote/coyote brown/black
Scarpini Sportivi Under Armour,UNDER ARMOUR,JET '23 - Scarpe da basket - black,"52,00","65,00",https://www.zalando.it/under-armour-performance-gs-jet-23-scarpe-da-basket-black-un243a04a-q13.html,JET '23,Scarpe da basket,black
Scarpini Sportivi Under Armour,UNDER ARMOUR,LOCKDOWN 7 - Scarpe da basket - white,"75,00","75,00",https://www.zalando.it/under-armour-performance-lockdown-scarpe-da-basket-white-un244a02y-a11.html,LOCKDOWN 7,Scarpe da basket,white
Scarpini Sportivi Under Armour,UNDER ARMOUR,PERFORMANCE SPAWN 6 CAMO - Scarpe da basket - silt,"69,97","100,00",https://www.zalando.it/under-armour-performance-spawn-scarpe-da-basket-silt-un241a0e5-b11.html,PERFORMANCE SPAWN 6 CAMO,Scarpe da basket,silt
