,categoria,marca,nome_prodotto,prezzo_effettivo,prezzo_ordinario,url_prodotto,modello,sport,colori
123,Scarpini Sportivi Under Armour,UNDER ARMOUR,INFINITE PRO 2 - Scarpe da corsa su strada - white/electric blue/anthracite,129.99,129.99,https://www.zalando.it/under-armour-infinite-pro-2-scarpe-running-neutre-whiteelectric-blueanthracite-un242a0nd-a11.html,INFINITE PRO 2,Scarpe da corsa su strada,white/electric blue/anthracite
124,Scarpini Sportivi Under Armour,UNDER ARMOUR,DYNAMIC 2 - Scarpe da allenamento - silica green,99.99,99.99,https://www.zalando.it/under-armour-dynamic-2-scarpe-da-allenamento-silica-green-un242a0np-m11.html,DYNAMIC 2,Scarpe da allenamento,silica green
125,Scarpini Sportivi Under Armour,UNDER ARMOUR,SPEEDFORM GEMINI - Scarpe da corsa su strada - black,130.0,130.0,https://www.zalando.it/under-armour-sneakers-basse-black-un244a03b-q11.html,SPEEDFORM GEMINI,Scarpe da corsa su strada,black
126,Scarpini Sportivi Under Armour,UNDER ARMOUR,SONIC 7 - Scarpe da camminata - white,120.0,120.0,https://www.zalando.it/under-armour-scarpe-da-camminata-white-un242a0oq-a11.html,SONIC 7,Scarpe da camminata,white
127,Scarpini Sportivi Under Armour,UNDER ARMOUR,INFINITE ELITE 2 - Scarpe da corsa su strada - halo gray,160.0,160.0,https://www.zalando.it/under-armour-infinite-elite-2-scarpe-da-corsa-su-strada-halo-gray-un242a0n9-c11.html,INFINITE ELITE 2,Scarpe da corsa su strada,halo gray
128,Scarpini Sportivi Under Armour,UNDER ARMOUR,CHARGED PURSUIT 4 - Scarpe da corsa su strada - black,69.99,69.99,https://www.zalando.it/under-armour-charged-pursuit-4-scarpe-da-corsa-su-strada-black-un242a0nb-q12.html,CHARGED PURSUIT 4,Scarpe da corsa su strada,black
129,Scarpini Sportivi Under Armour,UNDER ARMOUR,INFINITE ELITE 2 - Scarpe da corsa su strada - black,160.0,160.0,https://www.zalando.it/under-armour-infinite-elite-scarpe-da-corsa-su-strada-black-un242a0n9-q11.html,INFINITE ELITE 2,Scarpe da corsa su strada,black
130,Scarpini Sportivi Under Armour,UNDER ARMOUR,CHARGED ROGUE 5 - Scarpe da corsa su strada - black/white,84.99,84.99,https://www.zalando.it/under-armour-charged-rogue-5-scarpe-da-corsa-su-strada-blackwhite-un242a0ne-q11.html,CHARGED ROGUE 5,Scarpe da corsa su strada,black/white
131,Scarpini Sportivi Under Armour,UNDER ARMOUR,FLOW FUTR X - Scarpe da basket - white,96.0,120.0,https://www.zalando.it/under-armour-sneakers-basse-white-un215o004-a11.html,FLOW FUTR X,Scarpe da basket,white
132,Scarpini Sportivi Under Armour,UNDER ARMOUR,VALSETZ - Scarpa da hiking - black,145.0,145.0,https://www.zalando.it/under-armour-scarpa-da-hiking-black-un242a0mz-q11.html,VALSETZ,Scarpa da hiking,black
133,Scarpini Sportivi Under Armour,UNDER ARMOUR,CHARGED BREEZE 2 - Scarpe da corsa su strada - black jet gray white,80.06,89.95,https://www.zalando.it/under-armour-scarpe-running-neutre-black-jet-gray-white-un242a0l8-q11.html,CHARGED BREEZE 2,Scarpe da corsa su strada,black jet gray white
